Spacing,26
Voids


Label Id,X1,Y1,Z1,X2,Y2,Z2,a11,a22,a33,a12,a13,a23,DimX,DimY,DimZ,phi,theta,Xm,Ym,Zm,Volume,Roundness,FeretDiam,Flatness,VoxDimX,VoxDimY,VoxDimZ,MajorLength,MinorLength,
57,31625.8,3753.18,24206.8,32626.2,3916.52,23135.6,0.460145,0.0122665,0.527589,-0.075129,0.492714,-0.0804467,1040,390,1144,189.273,43.4185,32126,3834.85,23671.2,3.96866e+07,0,0,1.81184,40,15,44,1474.79,171.666,
58,33389.7,4229.58,20025.4,30696.7,3581.59,18367.4,0.69593,0.0402907,0.263779,0.16745,0.428453,0.103091,3016,780,1846,13.529,59.0965,32043.2,3905.59,19196.4,3.81223e+07,0,0,1.2631,116,30,71,3228.22,123.915,
59,8529.84,4016.92,27635.1,10517.1,3506.75,23726.3,0.20265,0.0133555,0.783994,0.052024,0.398593,0.102326,1898,598,3770,165.602,27.695,9523.49,3761.84,25680.7,3.77884e+07,0,0,1.437,73,23,145,4414.56,112.581,
60,31647.9,2303.22,8377.83,33968.9,2767.15,6238.29,0.529183,0.0211426,0.449674,-0.105775,0.487811,-0.0975052,2522,572,2340,191.303,47.8884,32808.4,2535.18,7308.06,3.66108e+07,0,0,1.22975,97,22,90,3190.59,124.802,
61,28532,3668.24,13479.9,27368.1,3392.59,11666.5,0.287067,0.0161024,0.69683,0.0679887,0.447255,0.105927,1144,364,2054,13.3244,33.4088,27950.1,3530.42,12573.2,3.65932e+07,0,0,2.49136,44,14,79,2172.29,129.942,
62,19345.9,816.379,13454.9,19609.9,817.921,13144.9,0.420325,1.43341e-05,0.579661,-0.00245459,0.493605,-0.00288252,442,338,468,180.335,40.4162,19477.9,817.15,13299.9,3.56969e+07,0,0,1.23578,17,13,18,407.227,315.335,
63,35886.7,4671.42,18356.1,33360.2,4052.67,16919.4,0.722867,0.0433563,0.233777,0.177033,0.411083,0.100676,2730,702,1586,13.7612,61.0854,34623.4,4362.05,17637.7,3.53102e+07,0,0,1.67688,105,27,61,2971.6,110.124,
64,24293.8,4223.87,29288.2,23465.6,4052.72,28784.2,0.707686,0.0302176,0.262096,0.146235,0.430676,0.088994,988,286,676,11.6752,59.206,23879.7,4138.29,29036.2,3.49235e+07,0,0,2.4548,38,11,26,984.568,150.134,
65,4025.43,3224.01,28851.8,2112.32,2533.95,25725.4,0.263112,0.0342322,0.702656,0.0949048,0.429973,0.155092,1872,728,3042,19.8344,33.0447,3068.88,2878.98,27288.6,3.44314e+07,0,0,1.67017,72,28,117,3729.65,97.5104,
66,29399.2,4468.1,28385,27148,3957.32,27023.3,0.705526,0.0363211,0.258153,0.16008,0.426771,0.0968319,2418,650,1482,12.7836,59.4634,28273.6,4212.71,27704.1,3.41326e+07,0,0,1.79131,93,25,57,2680.09,112.153,
67,32960.5,4871.79,9487.23,34122.4,4987.13,6412.15,0.124776,0.00122972,0.873994,-0.0123871,0.330233,-0.0327837,1300,208,3276,185.669,20.7918,33541.5,4929.46,7949.69,3.39041e+07,0,0,1.76672,50,8,126,3289.29,101.268,
68,6587.94,2217.01,26969.5,3254.54,1743.09,24951.5,0.721142,0.0145765,0.264281,0.102527,0.43656,0.0620668,3458,572,2132,8.09165,59.0638,4921.24,1980.05,25960.5,3.3535e+07,0,0,1.41346,133,22,82,3925.34,105.009,
69,30028.5,5134.08,13662.9,31333.9,5287.04,12652.9,0.620208,0.00851458,0.371278,-0.0726692,0.479864,-0.0562252,1586,286,1196,186.683,52.4592,30681.2,5210.56,13157.9,3.34471e+07,0,0,4.29433,61,11,46,1657.61,109.734,
